COVID-19 Vaccinations in the United States
Date generated: Sat Aug 07 2021 09:54:28 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,870395,118980,157805,702821,96074,658064,119309,380643,52,355258,64.4,335163,45.8,315774,57.3,439635,371460,59300,0,28982,290395,383257,187,134281,173920,26916,46,133910,155030,26791,43,308247,52,355258,64.4,42.1,288983,52.4,380643,76147,83.1,71576,78.1,40189,28674,2691,22,143489,156668,950337,379363,62.3,334370,54.9,134277,173133,26914,46,700746,115088,142951
Alabama,5262690,107332,137952,3681013,75074,3554045,93163,2192650,44.7,2107004,55.2,1703519,34.7,1660473,43.5,2546190,2435200,281300,0,123434,1677634,1879941,4,749322,827766,126180,251,749044,785063,126115,251,1577339,44.7,2107004,55.2,32.2,1534358,40.2,2192650,693877,81.6,592672,69.7,312743,247364,32408,157,1230177,144754,619259,2192314,52.4,1703480,40.7,749310,827745,126174,251,3680678,87910,125695
Arkansas,3134360,103862,135239,2520966,83536,2395775,103371,1465389,48.6,1384589,59.7,1125427,37.3,1080810,46.6,1504620,1450840,178900,0,88084,1141344,1290843,695,498653,540428,86155,191,497660,497294,85678,178,1039272,48.6,1384589,59.7,34.4,995132,42.9,1465389,427412,81.6,357410,68.2,204187,139978,13138,107,775597,148048,598295,1461706,57.2,1123981,44,498646,539106,86039,190,2515896,98383,122568
American Samoa,55830,100253,128715,52933,95051,47184,108782,29366,52.7,25756,59.4,24217,43.5,22086,50.9,39630,15600,600,0,545,13049,39338,1,5905,17762,550,0,5891,15646,549,0,23667,52.7,25756,59.4,42.5,21537,49.7,29366,2758,29.2,2511,26.6,1028,1458,25,0,5171,54801,591670,29358,61.7,24214,50.9,5904,17760,550,0,52922,111281,117396
Arizona,8685220,119324,154035,7182354,98676,6771978,120103,3916686,53.8,3685787,65.4,3322203,45.6,3151811,55.9,4649100,3605120,431000,0,257597,3011868,3903322,9567,1332853,1737642,248586,3122,1332403,1568095,248221,3092,3073617,53.8,3685787,65.4,42.2,2903590,51.5,3916686,1129275,86.3,976450,74.6,482795,449450,42546,1659,2154661,164650,663686,3915897,63.1,3321865,53.5,1332832,1737557,248355,3121,7181479,115717,139947
Bureau of Prisons,216380,N/A,N/A,203635,N/A,203634,N/A,111078,N/A,111077,N/A,100842,N/A,100842,N/A,115020,90760,10600,0,9497,83542,110596,0,39621,51793,9428,0,39621,51793,9428,0,91414,N/A,111077,N/A,0,91414,0,111078,3405,0,3181,0,1537,1520,124,0,6503,0,0,111077,0,100842,0,39621,51793,9428,0,203634,0,0
California,51463045,130246,168083,45677059,115602,42586758,139092,25937550,65.6,24183198,79,21096749,53.4,19757924,64.5,27922545,20924700,2615800,0,1687947,18133903,25845916,9293,8021500,11400539,1671795,2915,7996599,10094049,1664566,2710,19424954,65.6,24183198,79,49.2,18093358,59.1,25937550,5613495,96.2,4527182,77.5,2309477,2048167,168574,964,10073103,172540,881501,25858637,76.9,21048286,62.6,8021079,11352823,1671475,2909,45549427,135377,152953
Colorado,7309025,126921,162451,6532588,113438,6097219,135517,3507478,60.9,3268936,72.7,3157207,54.8,2961070,65.8,3958725,3010000,340300,0,238068,2669317,3621156,4047,1248819,1673256,233866,1266,1245247,1481834,232756,1233,2923341,60.9,3268936,72.7,50.8,2728314,60.6,3507478,748264,88.8,681329,80.9,335816,323558,21528,427,1440014,170939,867631,3495772,70.8,3149224,63.8,1248806,1665307,233845,1266,6512754,131942,148074
Connecticut,4988685,139924,175791,4629077,129837,4314605,152038,2516437,70.6,2345253,82.6,2270704,63.7,2131905,75.1,2701605,2037080,250000,0,188066,1762123,2678207,681,833724,1249480,187265,235,833350,1111246,187117,192,2083439,70.6,2345253,82.6,58.4,1944788,68.5,2516437,608080,96.5,569059,90.3,224880,325070,19057,52,1173218,186153,791548,2515163,81,2270252,73.1,833518,1249310,187189,235,4627426,148986,160617
District of Columbia,1100235,155896,190490,909047,128806,882441,152782,455893,64.6,438236,75.9,390323,55.3,378902,65.6,607815,438020,54400,0,29114,354002,525532,399,146598,210911,32577,237,146546,199577,32558,221,357746,64.6,438236,75.9,50.7,346344,60,455893,76447,87.5,68384,78.3,38307,27726,2323,28,173669,198836,1259670,455794,74.8,390279,64,146592,210877,32575,235,908966,149071,180439
